,Weight,Length,Diagonal,Height,Width,type
134,456.0,42.5,45.5,7.28,4.3225,D
135,510.0,42.5,45.5,6.825,4.459,D
136,540.0,43.0,45.8,7.7860000000000005,5.1296,D
137,500.0,45.0,48.0,6.96,4.896,D
138,567.0,46.0,48.7,7.792000000000001,4.87,D
139,770.0,48.0,51.2,7.68,5.376,D
140,950.0,51.7,55.1,8.9262,6.1712,D
141,1250.0,56.0,59.7,10.6863,6.9849,D
142,1600.0,60.0,64.0,9.6,6.144,D
143,1550.0,60.0,64.0,9.6,6.144,D
144,1650.0,63.4,68.0,10.812000000000001,7.48,D
145,6.7,9.8,10.8,1.7388,1.0476,E
146,7.5,10.5,11.6,1.972,1.16,E
147,7.0,10.6,11.6,1.7284,1.1484,E
148,9.7,11.0,12.0,2.1959999999999997,1.38,E
149,9.8,11.2,12.4,2.0832,1.2772,E
150,8.7,11.3,12.6,1.9782,1.2852,E
151,10.0,11.8,13.1,2.2139,1.2838,E
152,9.9,11.8,13.1,2.2139,1.1659,E
153,9.8,12.0,13.2,2.2044,1.1484,E
154,12.2,12.2,13.4,2.0904,1.3936,E
155,13.4,12.4,13.5,2.43,1.2690000000000001,E
156,12.2,13.0,13.8,2.2769999999999997,1.2558,E
157,19.7,14.3,15.2,2.8728,2.0672,E
158,19.9,15.0,16.2,2.9322,1.8792,E
61,55.0,14.7,16.5,6.8475,2.3265,F
62,60.0,15.5,17.4,6.5772,2.3142,F
63,90.0,17.7,19.8,7.4052,2.673,F
64,120.0,19.0,21.3,8.3922,2.9181,F
65,150.0,20.0,22.4,8.8928,3.2928,F
66,140.0,20.7,23.2,8.5376,3.2944,F
67,170.0,20.7,23.2,9.396,3.4104,F
68,145.0,21.5,24.1,9.7364,3.1571,F
69,200.0,23.0,25.8,10.3458,3.6636,F
70,273.0,25.0,28.0,11.088,4.144,F
71,300.0,26.0,29.0,11.368,4.234,F
55,270.0,26.0,28.7,8.3804,4.2476,G
56,270.0,26.5,29.3,8.1454,4.2485,G
57,306.0,28.0,30.8,8.777999999999999,4.6816,G
58,540.0,31.0,34.0,10.744000000000002,6.562,G
59,800.0,36.4,39.6,11.7612,6.5736,G
60,1000.0,40.0,43.5,12.354000000000001,6.525,G
